vladon_08_193_50.cpp,1,79,18,64,0,15,4.27,0.00,4.27,0.81,64,0,15
anikaitshivam_14_3394_20.cpp,1,78,8,58,0,20,2.90,0.00,2.90,0.74,58,0,20
diegoc_09_17618_99.cpp,1,67,23,66,0,1,66.00,0.00,66.00,0.99,66,0,1
edeng_12_18227_47.cpp,1,90,24,73,1,16,4.29,73.00,4.56,0.81,73,1,16
lock_09_11120_76.cpp,1,99,18,92,1,7,11.50,92.00,13.14,0.93,92,1,7
TheJoker_13_10689_80.cpp,1,150,26,58,64,28,0.63,0.91,2.07,0.39,58,64,28
Progbeat_09_991_99.cpp,1,46,16,40,0,6,6.67,0.00,6.67,0.87,40,0,6
justnajm_10_17324_43.cpp,1,58,21,52,2,4,8.67,26.00,13.00,0.90,52,2,4
Jeffrey.Chen_08_5983_50.cpp,1,144,19,129,4,11,8.60,32.25,11.73,0.90,129,4,11
Aleks_11_7479_70.cpp,1,56,22,51,2,3,10.20,25.50,17.00,0.91,51,2,3
Seal_12_17993_60.cpp,1,94,18,76,8,10,4.22,9.50,7.60,0.81,76,8,10
magicalEmy_14_13312_8.cpp,1,52,14,48,1,4,9.60,48.00,12.00,0.92,48,1,4
borysp_12_9776_60.cpp,1,63,12,59,0,4,14.75,0.00,14.75,0.94,59,0,4
Safii_08_1636_20.cpp,1,85,24,75,1,9,7.50,75.00,8.33,0.88,75,1,9
tornike_12_6822_60.cpp,1,51,15,49,0,2,24.50,0.00,24.50,0.96,49,0,2
wangyeweikuer_08_4348_50.cpp,1,177,16,99,73,5,1.27,1.36,19.80,0.56,99,73,5
lalanana_11_6976_20.cpp,1,92,11,57,1,34,1.63,57.00,1.68,0.62,57,1,34
wychen_13_11396_39.cpp,1,242,42,122,101,19,1.02,1.21,6.42,0.50,122,101,19
Zeta_11_2808_70.cpp,1,109,20,97,1,11,8.08,97.00,8.82,0.89,97,1,11
