#filename;number_of_modules;lines_of_code;lines_of_code_per_module;McCabes_cyclomatic_complexity;McCabes_cyclomatic_complexity_per_module;lines_of_comment;lines_of_comment_per_module;lines_of_code_per_line_of_comment;McCabes_cyclomatic_complexity_per_line_of_comment;IF4;IF4_per_module;IF4_visible;IF4_visible_per_module;IF4_concrete;IF4_concrete;rejected_lines_of_code
csvs/08_11740_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11741_50.csv;2;8;4.000;0;0.000;15;7.500;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11744_50.csv;10;309;30.900;34;3.400;78;7.800;3.962;0.436;0;0.000;0;0.000;0;0.000;1
csvs/08_1174_50.csv;1;41;41.000;14;14.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11758_50.csv;1;79;79.000;13;13.000;9;9.000;8.778;1.444;0;0.000;0;0.000;0;0.000;10
csvs/08_11764_50.csv;1;60;60.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;8
csvs/08_11770_50.csv;1;60;60.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;8
csvs/08_11775_15.csv;1;27;27.000;6;6.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11782_15.csv;1;27;27.000;6;6.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_1181_50.csv;1;41;41.000;14;14.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11867_25.csv;2;145;72.500;39;19.500;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11876_25.csv;2;142;71.000;38;19.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_1187_75.csv;1;33;33.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11884_15.csv;2;72;36.000;14;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11889_15.csv;2;72;36.000;14;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_1193_75.csv;1;33;33.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11968_55.csv;1;43;43.000;18;18.000;5;5.000;8.600;3.600;0;0.000;0;0.000;0;0.000;4
csvs/08_11975_55.csv;1;43;43.000;18;18.000;4;4.000;10.750;4.500;0;0.000;0;0.000;0;0.000;4
csvs/08_11981_55.csv;1;91;91.000;31;31.000;1;1.000;91.000;31.000;0;0.000;0;0.000;0;0.000;5
csvs/08_11986_55.csv;1;91;91.000;31;31.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11992_55.csv;1;140;140.000;67;67.000;30;30.000;4.667;2.233;0;0.000;0;0.000;0;0.000;5
csvs/08_11997_65.csv;1;25;25.000;5;5.000;1;1.000;25.000;5.000;0;0.000;0;0.000;0;0.000;4
csvs/08_12002_65.csv;1;25;25.000;5;5.000;1;1.000;25.000;5.000;0;0.000;0;0.000;0;0.000;4
csvs/08_1200_75.csv;1;27;27.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_12008_65.csv;1;78;78.000;23;23.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_12015_65.csv;1;78;78.000;23;23.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_12021_65.csv;1;43;43.000;2;2.000;0;0.000;******;------;0;0.000;0;0.000;0;0.000;32
csvs/08_12026_25.csv;1;97;97.000;21;21.000;4;4.000;24.250;5.250;0;0.000;0;0.000;0;0.000;4
csvs/08_12033_25.csv;1;97;97.000;21;21.000;2;2.000;48.500;10.500;0;0.000;0;0.000;0;0.000;4
csvs/08_12038_25.csv;1;49;49.000;15;15.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_12044_25.csv;1;42;42.000;10;10.000;1;1.000;42.000;10.000;0;0.000;0;0.000;0;0.000;5
csvs/08_12050_35.csv;1;88;88.000;48;48.000;8;8.000;11.000;6.000;0;0.000;0;0.000;0;0.000;10
csvs/08_12056_35.csv;1;103;103.000;41;41.000;22;22.000;4.682;1.864;0;0.000;0;0.000;0;0.000;9
csvs/08_12062_35.csv;1;65;65.000;28;28.000;3;3.000;21.667;9.333;0;0.000;0;0.000;0;0.000;5
csvs/08_12069_35.csv;1;36;36.000;10;10.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_12076_49.csv;1;3;3.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_1207_75.csv;1;33;33.000;10;10.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;6
csvs/08_12083_49.csv;1;3;3.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_12089_49.csv;0;2;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_12094_49.csv;0;2;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_12099_34.csv;1;57;57.000;18;18.000;1;1.000;57.000;18.000;0;0.000;0;0.000;0;0.000;7
csvs/08_12106_34.csv;1;57;57.000;18;18.000;1;1.000;57.000;18.000;0;0.000;0;0.000;0;0.000;7
csvs/08_12113_34.csv;1;42;42.000;10;10.000;1;1.000;42.000;10.000;0;0.000;0;0.000;0;0.000;6
csvs/08_12120_34.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_12127_34.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_1212_75.csv;1;45;45.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;7
csvs/08_1219_55.csv;1;42;42.000;21;21.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_12226_50.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_12233_50.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_12241_50.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_12250_50.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_12257_5.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
csvs/08_12262_5.csv;1;2;2.000;0;0.000;0;0.000;------;------;0;0.000;0;0.000;0;0.000;1
